Review Title,Customer name,Rating,Rating_Numeric,Date,Date_Parsed,Category,Comments,Useful,Helpful_Count,Review_Title_Clean,Comments_Clean,Combined_Text,Review_Title_Processed,Comments_Processed,Combined_Text_Processed,Text_Length,Word_Count
Awesome product,Debashis Das,5.0 out of 5 stars,5.0,on 15 September 2018,2018-09-15,Others,awesome product at this range,4 people found this helpful,4,Awesome product,awesome product at this range,Awesome product awesome product at this range,awesome product,awesome product range,awesome product awesome product range,45,7
08-Oct,Braveheartboy_vinai,4.0 out of 5 stars,4.0,on 17 September 2018,2018-09-17,Camera,"Very nice looks , smooth operation , camera could have been better",3 people found this helpful,3,08 Oct,"Very nice looks , smooth operation , camera could have been better","08 Oct Very nice looks , smooth operation , camera could have been better",oct,nice look smooth operation camera could better,oct nice look smooth operation camera could better,73,14
Nice handy phone with good camera with notch,Abhishek Gupta,4.0 out of 5 stars,4.0,on 19 September 2018,2018-09-19,Others,Like every things but fullscreen video playing option is not available in default player...,3 people found this helpful,3,Nice handy phone with good camera with notch,Like every things but fullscreen video playing option is not available in default player...,Nice handy phone with good camera with notch Like every things but fullscreen video playing option is not available in default player...,nice handy phone good camera notch,like every thing fullscreen video playing option available default player ...,nice handy phone good camera notch like every thing fullscreen video playing option available default player ...,136,22
dont buy these product. these copy of the product,KHAN SONU RAFI AHMED,1.0 out of 5 stars,1.0,on 22 September 2018,2018-09-22,Others,"Please don't buy these product.. I have 3-mobile of MI but i did not face these type of issue. mobile data getting on and off automatically same things are happening with wifi, hot-spot and bluetooth. The handset behaving like cheap quality i think its duplicate or copy of original handset.",2 people found this helpful,2,dont buy these product. these copy of the product,"Please don t buy these product.. I have 3 mobile of MI but i did not face these type of issue. mobile data getting on and off automatically same things are happening with wifi, hot spot and bluetooth. The handset behaving like cheap quality i think its duplicate or copy of original handset.","dont buy these product. these copy of the product Please don t buy these product.. I have 3 mobile of MI but i did not face these type of issue. mobile data getting on and off automatically same things are happening with wifi, hot spot and bluetooth. The handset behaving like cheap quality i think its duplicate or copy of original handset.",dont buy product copy product,please buy product mobile face type issue mobile data getting automatically thing happening wifi hot spot bluetooth handset behaving like cheap quality think duplicate copy original handset,dont buy product copy product please buy product mobile face type issue mobile data getting automatically thing happening wifi hot spot bluetooth handset behaving like cheap quality think duplicate copy original handset,341,62
Thanks alot Amazon,sonu,5.0 out of 5 stars,5.0,on 24 September 2018,2018-09-24,Battery,"Thanks alot Amazon,ecom & seller.perfect product no compromise in quality, good battery backup.smooth working no hanging problem.no heating issue.according to note 5 dual camera working properly.product packing is perfect again thanks alot Amazon, seller,ecom &&&&MI.",One person found this helpful,1,Thanks alot Amazon,"Thanks alot Amazon,ecom seller.perfect product no compromise in quality, good battery backup.smooth working no hanging problem.no heating issue.according to note 5 dual camera working properly.product packing is perfect again thanks alot Amazon, seller,ecom MI.","Thanks alot Amazon Thanks alot Amazon,ecom seller.perfect product no compromise in quality, good battery backup.smooth working no hanging problem.no heating issue.according to note 5 dual camera working properly.product packing is perfect again thanks alot Amazon, seller,ecom MI.",thanks alot amazon,thanks alot amazon ecom seller.perfect product compromise quality good battery backup.smooth working hanging problem.no heating issue.according note dual camera working properly.product packing perfect thanks alot amazon seller ecom,thanks alot amazon thanks alot amazon ecom seller.perfect product compromise quality good battery backup.smooth working hanging problem.no heating issue.according note dual camera working properly.product packing perfect thanks alot amazon seller ecom,280,37
Pros and cons,Amazon Customer,5.0 out of 5 stars,5.0,on 20 September 2018,2018-09-20,Display,"No company can provide u these features
Pros:
AWESOME display
Great video stablisation
Great battery
Great performance
Looks beatifull

Cons:
Okk front camera( not very bad considering price)",2 people found this helpful,2,Pros and cons,No company can provide u these features Pros AWESOME display Great video stablisation Great battery Great performance Looks beatifull Cons Okk front camera not very bad considering price,Pros and cons No company can provide u these features Pros AWESOME display Great video stablisation Great battery Great performance Looks beatifull Cons Okk front camera not very bad considering price,pro con,company provide feature pro awesome display great video stablisation great battery great performance look beatifull con okk front camera bad considering price,pro con company provide feature pro awesome display great video stablisation great battery great performance look beatifull con okk front camera bad considering price,200,31
Design can be better,Rahul Mhatre,3.0 out of 5 stars,3.0,on 2 October 2018,2018-10-02,Others,The product is great with quite good features. I am great fan of xiaomi and I have been always using Xiaomi phones. But I am disappointed with mobile designing of Xiaomi as most of all the lower range and mid range phones have same design. Xiaomi always being giving with so many features but being realme entering in market Xiaomi has to be more creative to attract more indian customers.,One person found this helpful,1,Design can be better,The product is great with quite good features. I am great fan of xiaomi and I have been always using Xiaomi phones. But I am disappointed with mobile designing of Xiaomi as most of all the lower range and mid range phones have same design. Xiaomi always being giving with so many features but being realme entering in market Xiaomi has to be more creative to attract more indian customers.,Design can be better The product is great with quite good features. I am great fan of xiaomi and I have been always using Xiaomi phones. But I am disappointed with mobile designing of Xiaomi as most of all the lower range and mid range phones have same design. Xiaomi always being giving with so many features but being realme entering in market Xiaomi has to be more creative to attract more indian customers.,design better,product great quite good feature great fan xiaomi always using xiaomi phone disappointed mobile designing xiaomi lower range mid range phone design xiaomi always giving many feature realme entering market xiaomi creative attract indian customer,design better product great quite good feature great fan xiaomi always using xiaomi phone disappointed mobile designing xiaomi lower range mid range phone design xiaomi always giving many feature realme entering market xiaomi creative attract indian customer,410,74
Mi 6pro review,darpan n parekh,3.0 out of 5 stars,3.0,on 21 September 2018,2018-09-21,Camera,Camera clarity is not good and average mobile I purchased first time mi mobile but not good compare to expect,3 people found this helpful,3,Mi 6pro review,Camera clarity is not good and average mobile I purchased first time mi mobile but not good compare to expect,Mi 6pro review Camera clarity is not good and average mobile I purchased first time mi mobile but not good compare to expect,6pro review,camera clarity good average mobile purchased first time mobile good compare expect,6pro review camera clarity good average mobile purchased first time mobile good compare expect,124,23
Best phone u can get in this and within 20k budget,Amazon Customer,5.0 out of 5 stars,5.0,on 29 September 2018,2018-09-29,Display,"Superb job by Xiaomi
Handy phone. Not huge size not slippery.
Better battery display processing speed. Overall its the best phone.",2 people found this helpful,2,Best phone u can get in this and within 20k budget,Superb job by Xiaomi Handy phone. Not huge size not slippery. Better battery display processing speed. Overall its the best phone.,Best phone u can get in this and within 20k budget Superb job by Xiaomi Handy phone. Not huge size not slippery. Better battery display processing speed. Overall its the best phone.,best phone get within 20k budget,superb job xiaomi handy phone huge size slippery better battery display processing speed overall best phone,best phone get within 20k budget superb job xiaomi handy phone huge size slippery better battery display processing speed overall best phone,181,32
Superb Phone. Good for Performance.,Tharun,5.0 out of 5 stars,5.0,on 20 September 2018,2018-09-20,Display,"Good phone at such a valuable price. Notch display.
Value for money",2 people found this helpful,2,Superb Phone. Good for Performance.,Good phone at such a valuable price. Notch display. Value for money,Superb Phone. Good for Performance. Good phone at such a valuable price. Notch display. Value for money,superb phone good performance,good phone valuable price notch display value money,superb phone good performance good phone valuable price notch display value money,103,17
Nice,Rohit Mengal,5.0 out of 5 stars,5.0,on 23 September 2018,2018-09-23,Others,Good phone,One person found this helpful,1,Nice,Good phone,Nice Good phone,nice,good phone,nice good phone,15,3
Fantastic,RAHEEL,5.0 out of 5 stars,5.0,on 20 September 2018,2018-09-20,Others,"Great product, fully met my expectations....",One person found this helpful,1,Fantastic,"Great product, fully met my expectations....","Fantastic Great product, fully met my expectations....",fantastic,great product fully met expectation ....,fantastic great product fully met expectation ....,54,7
Good,rajkumar kumawat,4.0 out of 5 stars,4.0,on 29 September 2018,2018-09-29,Others,Good,One person found this helpful,1,Good,Good,Good Good,good,good,good good,9,2
Not good as expected,Bidyut Majumder,1.0 out of 5 stars,1.0,on 20 September 2018,2018-09-20,Others,Do not buy.,One person found this helpful,1,Not good as expected,Do not buy.,Not good as expected Do not buy.,good expected,buy,good expected buy,32,7
High thinker,Joshi Dharmesh kumar,2.0 out of 5 stars,2.0,on 21 September 2018,2018-09-21,Others,No dual 4g if you think new mobile you buy realme 1,2 people found this helpful,2,High thinker,No dual 4g if you think new mobile you buy realme 1,High thinker No dual 4g if you think new mobile you buy realme 1,high thinker,dual think new mobile buy realme,high thinker dual think new mobile buy realme,64,14
good phone,ANUPOM BHUNIYA,5.0 out of 5 stars,5.0,on 18 September 2018,2018-09-18,Others,very good phone of this budget......red colour very beautiful,2 people found this helpful,2,good phone,very good phone of this budget......red colour very beautiful,good phone very good phone of this budget......red colour very beautiful,good phone,good phone budget ...... red colour beautiful,good phone good phone budget ...... red colour beautiful,72,11
Good service,Manowar,4.0 out of 5 stars,4.0,on 17 September 2018,2018-09-17,Delivery,Nice product. Delivery guy also.,2 people found this helpful,2,Good service,Nice product. Delivery guy also.,Good service Nice product. Delivery guy also.,good service,nice product delivery guy also,good service nice product delivery guy also,45,7
Bad camera,JAWED HUSSAIN,2.0 out of 5 stars,2.0,on 21 September 2018,2018-09-21,Camera,Bad camera quality and heating problem,2 people found this helpful,2,Bad camera,Bad camera quality and heating problem,Bad camera Bad camera quality and heating problem,bad camera,bad camera quality heating problem,bad camera bad camera quality heating problem,49,8
Good phone in budget,Amazon Customer,4.0 out of 5 stars,4.0,on 1 October 2018,2018-10-01,Battery,"Good phone in budget. Good camera,battery and performance for normal use. Call sound is very good.", ,0,Good phone in budget,"Good phone in budget. Good camera,battery and performance for normal use. Call sound is very good.","Good phone in budget Good phone in budget. Good camera,battery and performance for normal use. Call sound is very good.",good phone budget,good phone budget good camera battery performance normal use call sound good,good phone budget good phone budget good camera battery performance normal use call sound good,119,20
Redmi Pro 6,Amazon Customer,3.0 out of 5 stars,3.0,on 25 September 2018,2018-09-25,Battery,"Awesome sound quality , battery life is good , gaming is good no lags there ...Very poor camera if you r buying for a camera phone the m this is not the one.. Moto 5 MP camera works better than this",One person found this helpful,1,Redmi Pro 6,"Awesome sound quality , battery life is good , gaming is good no lags there ...Very poor camera if you r buying for a camera phone the m this is not the one.. Moto 5 MP camera works better than this","Redmi Pro 6 Awesome sound quality , battery life is good , gaming is good no lags there ...Very poor camera if you r buying for a camera phone the m this is not the one.. Moto 5 MP camera works better than this",redmi pro,awesome sound quality battery life good gaming good lag ... poor camera buying camera phone one moto camera work better,redmi pro awesome sound quality battery life good gaming good lag ... poor camera buying camera phone one moto camera work better,210,44
Best Mobile in this price category.,Rahul.K.R,4.0 out of 5 stars,4.0,on 2 October 2018,2018-10-02,Battery,"Nice mobile, battery backup is good, camera gud, one limitation is front camera- 5 no, slim & light weight mobile",One person found this helpful,1,Best Mobile in this price category.,"Nice mobile, battery backup is good, camera gud, one limitation is front camera 5 no, slim light weight mobile","Best Mobile in this price category. Nice mobile, battery backup is good, camera gud, one limitation is front camera 5 no, slim light weight mobile",best mobile price category,nice mobile battery backup good camera gud one limitation front camera slim light weight mobile,best mobile price category nice mobile battery backup good camera gud one limitation front camera slim light weight mobile,146,25
